Step,PIB,Desempleo,QuiebrasF,BancosMuertos
0,1128.2368798647178,0.23389830508474574,0,0
1,1290.6779665648678,0.07711864406779656,0,0
2,1411.883689975942,0.0,0,0
3,1445.260220173916,0.0,0,0
4,1409.8780852827283,0.0,0,0
5,1425.7780045674142,0.0,0,0
6,1357.1816871906997,0.0,0,0
7,1482.0183128093006,0.0,0,0
8,1373.5801585189954,0.0,0,0
9,1413.3718425294846,0.0,0,0
10,1452.6479989515196,0.0,0,0
11,1379.0351050676563,0.0,0,0
12,1399.3942421581808,0.0,0,0
13,1456.3706527741635,0.0,0,0
14,1423.131422081751,0.0,0,0
15,1417.4890760245823,0.0,0,0
16,1375.315839419092,0.0,0,0
17,1439.1494067617944,0.0,0,0
18,1430.5786863501428,0.0,0,0
19,1398.9249196883331,0.0,0,0
20,1403.7044946625033,0.0,0,0
21,1402.1645779079988,0.0,0,0
22,1448.267700698281,0.0,0,0
23,1421.2351013628722,0.0,0,0
24,1381.2198702923888,0.0,0,0
25,1424.9170426508597,0.0,0,0
26,1438.0076914265837,0.0,0,0
27,1387.5106557740448,0.0,0,0
28,1410.2725068947193,0.0,0,0
29,1433.634894091241,0.0,0,0
30,1406.9852374596176,0.0,0,0
31,1427.638831575015,0.0,0,0
32,1327.3445832277698,0.0,0,0
33,1482.8821071304262,0.0,0,0
34,1384.099881931301,0.0,0,0
35,1424.7356068408058,0.0,0,0
36,1417.3508233249488,0.0,0,0
37,1416.9954396276187,0.0,0,0
38,1398.9246828927228,0.0,0,0
39,1413.0536744750352,0.0,0,0
40,1375.0706223551263,0.0,0,0
41,1388.2731693621533,0.0,0,0
42,1404.4207283690696,0.0,0,0
43,1364.946327951483,0.0,0,0
44,1298.7107385180052,0.0,0,0
45,1119.7018935541778,0.0,0,0
46,912.5870256259074,0.0,0,0
47,725.8411901063109,0.0,0,0
48,639.2553170631019,0.0,0,0
49,610.520827635126,0.0,0,0
50,615.7655065306404,0.0,0,0
51,623.860490979626,0.0,0,0
52,633.7805283226357,0.0,0,0
53,648.7879934381399,0.0,0,0
54,662.3982464987184,0.0,0,0
55,677.3572076829967,0.0,0,0
56,691.3081865364877,0.0,0,0
57,705.3426613640777,0.0,0,0
58,716.629616399665,0.0,0,0
59,732.6983253982963,0.0,0,0
60,744.8516691686468,0.0,0,0
61,761.3080660545193,0.0,0,0
62,776.1401973300394,0.0,0,0
63,793.0852111240326,0.0,0,0
64,804.9482417044379,0.0,0,0
65,822.2474915257288,0.0,0,0
66,834.7187872556856,0.0,0,0
67,845.1554940683453,0.0,0,0
68,859.0171973239021,0.0,0,0
69,874.9196094119058,0.0,0,0
70,885.1065759014944,0.0,0,0
71,896.6006114204433,0.0,0,0
72,911.1085134746378,0.0,0,0
73,921.3927990332736,0.0,0,0
74,933.061203181743,0.0,0,0
75,942.8191732414418,0.0,0,0
76,956.9684314482706,0.0,0,0
77,972.6673753863685,0.0,0,0
78,979.0679819120577,0.0,0,0
79,990.1915923720626,0.0,0,0
80,1002.9103146752352,0.0,0,0
81,1016.6578474122853,0.0,0,0
82,1025.020375555827,0.0,0,0
83,1034.4976543140622,0.0,0,0
84,1039.5657214752969,0.0,0,0
85,1048.122017042905,0.0,0,0
86,1062.7792188345102,0.0,0,0
87,1074.6150804189986,0.0,0,0
88,1085.8750649558099,0.0,0,0
89,1091.4117679245164,0.0,0,0
90,1098.8615385750002,0.0,0,0
91,1105.071658531347,0.0,0,0
92,1121.4145302920028,0.0,0,0
93,1124.9389009585468,0.0,0,0
94,1133.0066992553216,0.0,0,0
95,1139.7614968696303,0.0,0,0
96,1147.1319719215594,0.0,0,0
97,1156.5943835090814,0.0,0,0
98,1160.0423428785364,0.0,0,0
99,1167.0825978406112,0.0,0,0
100,1177.6480171876829,0.0,0,0
101,1187.2082860161804,0.0,0,0
102,1194.629596354835,0.0,0,0
103,1204.3103138571034,0.0,0,0
104,1210.3072896910328,0.0,0,0
105,1216.9404141837674,0.0,0,0
106,1227.380074609739,0.0,0,0
107,1235.5202960823428,0.0,0,0
108,1233.7643307362814,0.0,0,0
109,1241.870119985539,0.0,0,0
110,1248.47103293238,0.0,0,0
111,1255.9548919661306,0.0,0,0
112,1262.854178317584,0.0,0,0
113,1270.3939110859287,0.0,0,0
114,1276.6264330308336,0.0,0,0
115,1283.1612464367233,0.0,0,0
116,1288.4858302974576,0.0,0,0
117,1293.592692315778,0.0,0,0
118,1292.8154173775752,0.0,0,0
119,1301.3784760681335,0.0,0,0
120,1305.206285570925,0.0,0,0
121,1311.4054430991823,0.0,0,0
122,1320.8022590730097,0.0,0,0
123,1319.7794986089991,0.0,0,0
124,1326.557520256183,0.0,0,0
125,1326.2190707384852,0.0,0,0
126,1328.669568155004,0.0,0,0
127,1338.2117257098453,0.0,0,0
128,1340.9491868676719,0.0,0,0
129,1348.2335274345871,0.0,0,0
