Step,PIB,Desempleo,QuiebrasF,BancosMuertos,FondoRescate
0,707.9094188766059,0.5127118644067796,0,0,0.0
1,797.4205012619666,0.4296610169491526,0,0,0.0
2,931.2,0.33220338983050846,0,0,0.0
3,1143.6278769153882,0.1983050847457627,0,0,0.0
4,1362.2695444692517,0.027966101694915202,0,0,0.0
5,1401.7051003680272,-0.0008474576271186862,0,0,0.0
6,1407.266249219696,0.0,0,0,0.0
7,1442.1639568886394,0.0,0,0,0.0
8,1388.1305875189964,0.0,0,0,0.0
9,1412.8366846200013,0.0,0,0,0.0
10,1436.570424181299,0.0,0,0,0.0
11,1399.5561651231035,0.0,0,0,0.0
12,1440.6734106955978,0.0,0,0,0.0
13,1420.7589799763562,0.0,0,0,0.0
14,1379.9167948137379,0.0,0,0,0.0
15,1402.9051404097568,0.0,0,0,0.0
16,1437.4861543667657,0.0,0,0,0.0
17,1428.4601516848797,0.0,0,0,0.0
18,1398.8697410716313,0.0,0,0,0.0
19,1406.8054395474214,0.0,0,0,0.0
20,1374.3482085918918,0.0,0,0,0.0
21,1481.8335946327707,0.0,0,0,0.0
22,1353.4780173941856,0.0,0,0,0.0
23,1468.348998027063,0.0,0,0,0.0
24,1367.3769443711078,0.0,0,0,0.0
25,1410.6678409417545,0.0,0,0,0.0
26,1428.4404607282056,0.0,0,0,0.0
27,1402.7229553609384,0.0,0,0,0.0
28,1428.5282291730969,0.0,0,0,0.0
29,1387.6314014238792,0.0,0,0,0.0
30,1367.5061929629442,0.0,0,0,0.0
31,1418.099142280914,0.0,0,0,0.0
32,1376.2561535374684,0.0,0,0,0.0
33,1344.2995019030595,0.0,0,0,0.0
34,1338.861445482741,0.0,0,0,0.0
35,1154.401344786781,0.0,0,0,0.0
36,989.6483923957574,0.0,0,0,0.0
37,779.4390221160481,0.0,0,0,0.0
38,691.462049936137,0.0,0,0,0.0
39,670.5427509830412,0.0,0,0,0.0
40,672.9606524700864,0.0,0,0,0.0
41,682.480421832161,0.0,0,0,0.0
42,697.3423262824421,0.0,0,0,0.0
43,708.5535307677826,0.0,0,0,0.0
44,724.2373480447116,0.0,0,0,0.0
45,738.1734158728485,0.0,0,0,0.0
46,753.7755728133567,0.0,0,0,0.0
