Step,PIB,Desempleo,QuiebrasF,BancosMuertos,FondoRescate
0,686.2537684771211,0.5237288135593221,0,0,0.0
1,787.8238968105051,0.44152542372881354,0,0,0.0
2,928.8,0.3432203389830508,0,0,0.0
3,1097.297518658656,0.21779661016949148,0,0,0.0
4,1300.302481341344,0.050000000000000044,0,0,0.0
5,1435.3079173484484,-0.0008474576271186862,0,0,0.0
6,1387.317359924174,0.0,0,0,0.0
7,1446.512058977003,0.0,0,0,0.0
8,1379.2626637503745,0.0,0,0,0.0
9,1429.3097160249479,0.0,0,0,0.0
10,1432.6098537926423,0.0,0,0,0.0
11,1419.007094466388,0.0,0,0,0.0
12,1418.7717899903485,0.0,0,0,0.0
13,1404.7825823529304,0.0,0,0,0.0
14,1396.7297412654352,0.0,0,0,0.0
15,1440.06821772359,0.0,0,0,0.0
16,1403.5440671463484,0.0,0,0,0.0
17,1339.9740757157238,0.0,0,0,0.0
18,1533.7488869226736,0.0,0,0,0.0
19,1353.0811058722657,0.0,0,0,0.0
20,1436.5144653809377,0.0,0,0,0.0
21,1425.2380867931772,0.0,0,0,0.0
22,1427.3653051151725,0.0,0,0,0.0
23,1379.181581820417,0.0,0,0,0.0
24,1380.2828490019656,0.0,0,0,0.0
25,1463.4583651404878,0.0,0,0,0.0
26,1386.4507809346403,0.0,0,0,0.0
27,1408.638953322859,0.0,0,0,0.0
28,1431.4732547354477,0.0,0,0,0.0
29,1367.8017784355934,0.0,0,0,0.0
30,1389.441215170921,0.0,0,0,0.0
31,1426.0396390328924,0.0,0,0,0.0
32,1369.3361004362557,0.0,0,0,0.0
33,1377.088185586852,0.0,0,0,0.0
34,1323.9496666732705,0.0,0,0,0.0
35,1246.071915699741,0.0,0,0,0.0
36,1010.148273557703,0.0,0,0,0.0
37,800.2753553329518,0.0,0,0,0.0
38,697.246547479068,0.0,0,0,0.0
39,666.9052320737401,0.0,0,0,0.0
40,668.6466776597665,0.0,0,0,0.0
41,681.1592134899395,0.0,0,0,0.0
42,691.3059870427464,0.0,0,0,0.0
43,704.9805871039925,0.0,0,0,0.0
44,720.5223772205666,0.0,0,0,0.0
45,734.6910535530292,0.0,0,0,0.0
46,743.8434368813557,0.0,0,0,0.0
47,759.520541234049,0.0,0,0,0.0
48,774.2718173014965,0.0,0,0,0.0
49,789.2546493056363,0.0,0,0,0.0
50,805.8390768115121,0.0,0,0,0.0
51,821.5537796608393,0.0,0,0,0.0
52,833.5641350885372,0.0,0,0,0.0
53,848.8035637104867,0.0,0,0,0.0
54,862.7116570917841,0.0,0,0,0.0
55,879.5574378264926,0.0,0,0,0.0
56,892.0591532248907,0.0,0,0,0.0
57,906.0287619516268,0.0,0,0,0.0
58,918.7000154532398,0.0,0,0,0.0
59,929.3845442410528,0.0,0,0,0.0
60,946.3527518329105,0.0,0,0,0.0
61,952.2963920887275,0.0,0,0,0.0
62,968.1149213740872,0.0,0,0,0.0
63,974.1136589097384,0.0,0,0,0.0
64,989.2797436475395,0.0,0,0,0.0
65,1001.329235327996,0.0,0,0,0.0
66,1010.2196677030761,0.0,0,0,0.0
67,1020.7493025242597,0.0,0,0,0.0
68,1031.621199408378,0.0,0,0,0.0
69,1043.769794104067,0.0,0,0,0.0
70,1055.1179905922447,0.0,0,0,0.0
71,1065.3451003539165,0.0,0,0,0.0
72,1077.2815049355952,0.0,0,0,0.0
73,1083.407775816326,0.0,0,0,0.0
74,1091.0057484996803,0.0,0,0,0.0
75,1105.0684412035866,0.0,0,0,0.0
76,1115.8884952165708,0.0,0,0,0.0
77,1125.9607243289206,0.0,0,0,0.0
78,1132.6159180878274,0.0,0,0,0.0
79,1142.7116173537136,0.0,0,0,0.0
80,1146.1739690850236,0.0,0,0,0.0
81,1159.155471022353,0.0,0,0,0.0
82,1162.0286984234478,0.0,0,0,0.0
83,1174.9612816689903,0.0,0,0,0.0
84,1185.2854617288986,0.0,0,0,0.0
85,1192.41629953463,0.0,0,0,0.0
86,1199.025419433312,0.0,0,0,0.0
87,1203.8183154708743,0.0,0,0,0.0
88,1209.5581130169164,0.0,0,0,0.0
89,1213.2374191542297,0.0,0,0,0.0
90,1218.5848471794222,0.0,0,0,0.0
91,1226.6212801438292,0.0,0,0,0.0
92,1239.1442874444172,0.0,0,0,0.0
93,1240.042598809454,0.0,0,0,0.0
94,1247.9186572518806,0.0,0,0,0.0
95,1253.4884037139109,0.0,0,0,0.0
96,1260.1355432599848,0.0,0,0,0.0
97,1268.9757398528466,0.0,0,0,0.0
98,1274.1019596481963,0.0,0,0,0.0
99,1282.1454199397833,0.0,0,0,0.0
100,1286.2325065333887,0.0,0,0,0.0
101,1291.8652515175831,0.0,0,0,0.0
102,1300.7213551681093,0.0,0,0,0.0
103,1299.9580424986689,0.0,0,0,0.0
104,1313.62145243942,0.0,0,0,0.0
105,1313.2575826259242,0.0,0,0,0.0
106,1322.7966559073502,0.0,0,0,0.0
107,1323.5148492996784,0.0,0,0,0.0
108,1332.8991128022487,0.0,0,0,0.0
109,1331.655894480944,0.0,0,0,0.0
110,1338.8265383707203,0.0,0,0,0.0
111,1345.68692387351,0.0,0,0,0.0
112,1344.6426383665391,0.0,0,0,0.0
113,1354.0497388633921,0.0,0,0,0.0
114,1352.682667605285,0.0,0,0,0.0
115,1359.9069677925033,0.0,0,0,0.0
116,1359.7707611953556,0.0,0,0,0.0
117,1353.371741865992,0.0,0,0,0.0
118,1353.3847759586456,0.0,0,0,0.0
119,1374.8984175242529,0.0,0,0,0.0
120,1371.1887392608865,0.0,0,0,0.0
121,1352.9431433463503,0.0,0,0,0.0
122,1369.1226112627664,0.0,0,0,0.0
123,1394.4795989418942,0.0,0,0,0.0
124,1374.2623068754044,0.0,0,0,0.0
125,1396.3966934404896,0.0,0,0,0.0
126,1384.2143483356222,0.0,0,0,0.0
127,1392.9003229720938,0.0,0,0,0.0
128,1415.2024618586734,0.0,0,0,0.0
129,1398.3975576206071,0.0,0,0,0.0
130,1403.6212748243038,0.0,0,0,0.0
131,1393.25270507279,0.0,0,0,0.0
132,1414.4513800516163,0.0,0,0,0.0
133,1424.6787607483436,0.0,0,0,0.0
134,1430.3193652497011,0.0,0,0,0.0
135,1411.8700157584658,0.0,0,0,0.0
136,1426.5958423379277,0.0,0,0,0.0
137,1429.781147612923,0.0,0,0,0.0
138,1431.4683514019605,0.0,0,0,0.0
139,1424.3767210199615,0.0,0,0,0.0
140,1445.4765540419435,0.0,0,0,0.0
141,1448.2487816969465,0.0,0,0,0.0
142,1417.3372373373863,0.0,0,0,0.0
143,1438.624153512336,0.0,0,0,0.0
144,1443.1018536650215,0.0,0,0,0.0
145,1473.1610961060928,0.0,0,0,0.0
146,1421.6148277178434,0.0,0,0,0.0
147,1439.9572884619056,0.0,0,0,0.0
148,1432.6269855786818,0.0,0,0,0.0
149,1492.8588282151343,0.0,0,0,0.0
150,1421.7950532567904,0.0,0,0,0.0
151,1476.8102361244185,0.0,0,0,0.0
152,1455.5547058163081,0.0,0,0,0.0
153,1486.1031846448116,0.0,0,0,0.0
154,1430.3337183062058,0.0,0,0,0.0
155,1478.3715142679637,0.0,0,0,0.0
156,1478.1964086907485,0.0,0,0,0.0
157,1507.2475700255204,0.0,0,0,0.0
158,1445.988291351203,0.0,0,0,0.0
159,1476.3599247321497,0.0,0,0,0.0
160,1474.9791096388735,0.0,0,0,0.0
161,1492.7997045315392,0.0,0,0,0.0
162,1447.1417345831399,0.0,0,0,0.0
163,1508.9373556982705,0.0,0,0,0.0
164,1477.5820563202476,0.0,0,0,0.0
165,1495.4128132634469,0.0,0,0,0.0
166,1452.7018293259314,0.0,0,0,0.0
167,1513.8825615284156,0.0,0,0,0.0
168,1496.2799946740356,0.0,0,0,0.0
169,1483.5970995137252,0.0,0,0,0.0
170,1469.9329510185883,0.0,0,0,0.0
171,1512.0362213627927,0.0,0,0,0.0
172,1515.6629371890754,0.0,0,0,0.0
173,1490.4696374212276,0.0,0,0,0.0
174,1491.005402835573,0.0,0,0,0.0
175,1510.7749843451725,0.0,0,0,0.0
176,1487.503111305976,0.0,0,0,0.0
177,1495.923670195004,0.0,0,0,0.0
178,1474.815915824582,0.0,0,0,0.0
179,1541.5022575887174,0.0,0,0,0.0
180,1450.1019880095644,0.0,0,0,0.0
181,1536.8649424682014,0.0,0,0,0.0
182,1509.5260129933072,0.0,0,0,0.0
183,1495.6000972672653,0.0,0,0,0.0
184,1541.178612902463,-0.0008474576271186862,0,0,0.0
185,1479.2005504801134,0.0,0,0,0.0
186,1522.4142945813558,-0.0008474576271186862,0,0,0.0
187,1533.4495471280895,0.0,0,0,0.0
188,1508.2329882675608,0.0,0,0,0.0
189,1542.2480737926776,0.0,0,0,0.0
190,1515.3651740049052,0.0,0,0,0.0
191,1466.0544786781984,0.0,0,0,0.0
192,1533.7916448476976,0.0,0,0,0.0
193,1552.7595061884163,0.0,0,0,0.0
194,1515.5601836783349,0.0,0,0,0.0
195,1552.1688969094369,0.0,0,0,0.0
196,1521.6333157251013,0.0,0,0,0.0
197,1514.9618460784,0.0,0,0,0.0
198,1511.7419495142483,0.0,0,0,0.0
199,1511.3020812319498,0.0,0,0,0.0
200,1558.2896944097088,0.0,0,0,0.0
201,1582.6482335159003,-0.0016949152542373724,0,0,0.0
202,1487.8282646619273,0.0,0,0,0.0
203,1569.868339757945,-0.004237288135593209,0,0,0.0
204,1555.5805992685898,-0.0008474576271186862,0,0,0.0
205,1557.5628105370502,-0.0025423728813558366,0,0,0.0
206,1539.2730333070197,0.0,0,0,0.0
207,1557.472723868358,0.0,0,0,0.0
208,1570.7467414139576,0.0,0,0,0.0
209,1516.8274313768643,0.0,0,0,0.0
210,1596.6038335255682,0.0,0,0,0.0
211,1526.473718300532,0.0,0,0,0.0
212,1579.868651070494,0.0,0,0,0.0
213,1530.277781381137,0.0,0,0,0.0
214,1594.3524941004719,0.0,0,0,0.0
215,1538.0431285004652,-0.0016949152542373724,0,0,0.0
216,1560.5128248663232,-0.0016949152542373724,0,0,0.0
217,1576.2287545616687,-0.0008474576271186862,0,0,0.0
218,1531.4141882774143,-0.0016949152542373724,1,0,0.0
219,1622.6410333756792,-0.0008474576271186862,1,0,0.0
220,1475.4840462425332,-0.0016949152542373724,1,0,0.0
221,1701.6928195563764,0.0,1,0,0.0
222,1531.9661762783046,-0.0016949152542373724,1,0,0.0
223,1624.9699492630787,0.0,1,0,0.0
224,1543.2050627475,-0.0025423728813558366,1,1,0.0
225,1677.1408927235361,0.0,1,1,0.0
226,1498.3650090405868,-0.0025423728813558366,1,1,0.0
227,1665.8929255711603,0.0,2,4,0.0
228,1529.7080794216492,0.0,1,5,0.0
229,1639.9753990149052,-0.0008474576271186862,1,5,0.0
230,1585.5425192614198,0.0,1,5,0.0
231,1623.9745907658787,-0.0016949152542373724,0,5,0.0
232,1574.4819136910714,-0.005084745762711895,0,5,0.0
233,1511.0251945344248,0.0,0,5,0.0
234,1576.177153212713,-0.004237288135593209,0,5,0.0
235,1614.1163929311479,0.0,1,7,0.0
236,1627.7262759350103,-0.004237288135593209,0,7,0.0
237,1625.8774317298712,0.0,1,9,0.0
238,1556.9194949378475,0.0,0,9,0.0
239,1557.1809401728747,-0.0025423728813558366,0,9,0.0
240,1597.3829380997872,0.0,0,9,0.0
241,1543.9669594631741,-0.0016949152542373724,0,9,0.0
242,1636.645854908306,0.0,1,9,0.0
243,1590.5860043652688,0.0,0,9,0.0
244,1651.3990657636605,0.0,0,9,0.0
245,1538.6696334466967,0.0,0,9,0.0
246,1614.6898945791147,0.0,0,9,0.0
247,1547.2894751865206,0.0,0,9,0.0
248,1604.7757175344414,0.0,0,9,0.0
249,1688.441804608304,-0.003389830508474523,0,9,0.0
250,1559.620038906011,-0.0025423728813558366,0,9,0.0
251,1656.9344917511644,0.0,0,9,0.0
252,1568.2654226070747,0.0,0,9,0.0
253,1658.7376897025574,-0.0008474576271186862,0,9,0.0
254,1554.5638506160608,0.0,0,9,0.0
255,1659.1117428363755,-0.0008474576271186862,0,9,0.0
256,1568.524824931429,-0.0008474576271186862,0,9,0.0
257,1626.2044605739904,0.0,0,9,0.0
258,1536.1696756899428,-0.003389830508474523,0,9,0.0
259,1675.4222079149897,-0.0008474576271186862,0,9,0.0
260,1536.748578475908,-0.0008474576271186862,0,9,0.0
261,1589.6920211697777,-0.0016949152542373724,0,9,0.0
262,1579.4036880296733,0.0,0,9,0.0
263,1648.2106467081048,-0.005084745762711895,1,10,0.0
264,1587.7438343299264,-0.0016949152542373724,0,10,0.0
265,1630.6868868208487,-0.0059322033898305815,0,10,0.0
266,1638.0008147255783,-0.0008474576271186862,0,10,0.0
267,1561.4456081682688,0.0,0,10,0.0
268,1674.625887098787,-0.004237288135593209,0,10,0.0
269,1698.6698218619485,0.0,0,10,0.0
270,1535.4326547336257,-0.005084745762711895,1,11,0.0
271,1657.9748973336561,0.0,0,11,0.0
272,1564.6386675915157,-0.005084745762711895,0,11,0.0
273,1648.1949141820105,0.0,0,11,0.0
274,1640.4923858728823,-0.004237288135593209,0,11,0.0
275,1551.0630160315684,-0.0025423728813558366,1,11,0.0
276,1531.7258661417468,-0.004237288135593209,0,11,0.0
277,1637.6981357104155,0.0,0,11,0.0
278,1611.531448537353,-0.004237288135593209,0,11,0.0
279,1528.5900967980524,0.0,0,11,0.0
280,1663.4656673098075,-0.008474576271186418,0,11,0.0
281,1682.2409171221302,0.0,0,11,0.0
282,1569.3929561630903,-0.003389830508474523,0,11,0.0
283,1528.9787567220505,-0.0059322033898305815,0,11,0.0
284,1704.712422205443,0.0,0,11,0.0
285,1645.4723757627437,-0.0008474576271186862,2,12,0.0
286,1654.0125266547059,-0.0016949152542373724,1,12,0.0
287,1539.7599476773366,0.0,0,12,0.0
288,1741.7625272765924,-0.0025423728813558366,0,12,0.0
289,1578.0515424464415,-0.003389830508474523,0,12,0.0
290,1644.0924037405723,-0.0025423728813558366,0,12,0.0
291,1650.5965509962323,0.0,0,12,0.0
292,1617.7395923893416,-0.003389830508474523,0,12,0.0
293,1561.038074354371,-0.003389830508474523,0,12,0.0
294,1562.5985761867305,-0.011016949152542477,0,12,0.0
295,1701.045160979617,-0.003389830508474523,0,12,0.0
296,1562.9277375130816,-0.007627118644067732,0,12,0.0
297,1650.5092241554216,0.0,0,12,0.0
298,1699.4367145760796,-0.003389830508474523,1,12,0.0
299,1701.2081048000898,-0.004237288135593209,0,12,0.0
300,1594.8594547492196,-0.004237288135593209,0,12,0.0
301,1630.4036111742832,0.0,1,12,0.0
302,1713.7060139334421,-0.004237288135593209,0,12,0.0
303,1655.4708876390196,0.0,1,12,0.0
304,1659.2215910876137,-0.004237288135593209,0,12,0.0
305,1629.1681350008917,0.0,0,12,0.0
306,1659.7609959206036,0.0,0,12,0.0
307,1531.4916079411837,0.0,0,12,0.0
308,1561.8802616853875,0.0,0,12,0.0
309,1493.1600572131617,0.0,0,12,0.0
310,1594.616637305554,-0.005084745762711895,0,12,0.0
311,1479.4093005937139,0.0,0,12,0.0
312,1521.795955815559,0.0,0,12,0.0
313,1493.1883444170053,0.0,0,12,0.0
314,1534.6190110174446,0.0,0,12,0.0
315,1417.029250935442,0.0,0,12,0.0
316,1474.0542416705532,0.0,0,12,0.0
317,1505.2808550097764,0.0,0,12,0.0
318,1483.2751057979892,0.0,1,12,0.0
319,1426.906272839477,0.0,0,12,0.0
320,1491.2217916365435,0.0,0,12,0.0
321,1465.3715119556853,0.0,0,12,0.0
322,1474.7534302397714,-0.004237288135593209,0,12,0.0
323,1429.3797889020966,0.0,0,12,0.0
324,1524.9066974159687,0.0,0,12,0.0
325,1406.085873692195,0.0,0,12,0.0
326,1455.5316009161365,0.0,0,12,0.0
327,1404.4238590952566,0.0,0,12,0.0
328,1442.1921623581459,0.0,0,12,0.0
329,1414.5227607118625,0.0,0,12,0.0
330,1551.0563915253638,0.0,1,13,0.0
331,1432.4345263943856,0.0,0,13,0.0
332,1425.9525926423935,0.0,0,13,0.0
