Step,Source_Type,Source_ID,Target_Type,Target_ID,Weight,Relation_Type
0,Banco,0,Empresa,2,109.86,CREDITO
0,Banco,0,Empresa,4,106.23,CREDITO
0,Banco,0,Empresa,9,33.18,CREDITO
0,Banco,0,Empresa,10,114.64,CREDITO
0,Banco,0,Empresa,12,105.93,CREDITO
0,Banco,0,Empresa,15,104.98,CREDITO
0,Banco,0,Empresa,22,97.97,CREDITO
0,Banco,0,Empresa,34,81.74,CREDITO
0,Banco,0,Empresa,39,59.00,CREDITO
0,Banco,0,Empresa,50,74.79,CREDITO
0,Banco,0,Empresa,56,101.14,CREDITO
0,Banco,0,Empresa,57,78.52,CREDITO
0,Banco,0,Empresa,62,40.57,CREDITO
0,Banco,0,Empresa,71,67.66,CREDITO
0,Banco,0,Empresa,73,55.39,CREDITO
0,Banco,0,Empresa,76,81.40,CREDITO
0,Banco,0,Empresa,79,34.11,CREDITO
0,Banco,0,Empresa,88,107.50,CREDITO
0,Banco,0,Empresa,96,94.88,CREDITO
0,Banco,0,Empresa,97,79.12,CREDITO
0,Banco,0,Empresa,98,91.51,CREDITO
0,Banco,1,Empresa,8,101.46,CREDITO
0,Banco,1,Empresa,11,79.27,CREDITO
0,Banco,1,Empresa,17,118.98,CREDITO
0,Banco,1,Empresa,19,30.13,CREDITO
0,Banco,1,Empresa,20,119.66,CREDITO
0,Banco,1,Empresa,21,103.47,CREDITO
0,Banco,1,Empresa,23,70.06,CREDITO
0,Banco,1,Empresa,24,103.40,CREDITO
0,Banco,1,Empresa,28,102.11,CREDITO
0,Banco,1,Empresa,30,51.41,CREDITO
0,Banco,1,Empresa,32,55.72,CREDITO
0,Banco,1,Empresa,35,101.07,CREDITO
0,Banco,1,Empresa,38,83.78,CREDITO
0,Banco,1,Empresa,45,69.21,CREDITO
0,Banco,1,Empresa,46,49.15,CREDITO
0,Banco,1,Empresa,52,52.32,CREDITO
0,Banco,1,Empresa,55,73.60,CREDITO
0,Banco,1,Empresa,59,83.83,CREDITO
0,Banco,1,Empresa,61,92.50,CREDITO
0,Banco,1,Empresa,65,35.78,CREDITO
0,Banco,1,Empresa,69,56.59,CREDITO
0,Banco,1,Empresa,72,119.74,CREDITO
0,Banco,1,Empresa,80,89.77,CREDITO
0,Banco,1,Empresa,83,44.57,CREDITO
0,Banco,2,Empresa,1,39.86,CREDITO
0,Banco,2,Empresa,5,59.08,CREDITO
0,Banco,2,Empresa,7,118.36,CREDITO
0,Banco,2,Empresa,14,78.25,CREDITO
0,Banco,2,Empresa,29,43.50,CREDITO
0,Banco,2,Empresa,36,73.63,CREDITO
0,Banco,2,Empresa,40,108.44,CREDITO
0,Banco,2,Empresa,41,29.73,CREDITO
0,Banco,2,Empresa,49,48.24,CREDITO
0,Banco,2,Empresa,51,48.13,CREDITO
0,Banco,2,Empresa,53,82.70,CREDITO
0,Banco,2,Empresa,54,50.88,CREDITO
0,Banco,2,Empresa,58,64.24,CREDITO
0,Banco,2,Empresa,64,63.55,CREDITO
0,Banco,2,Empresa,68,48.92,CREDITO
0,Banco,2,Empresa,75,79.46,CREDITO
0,Banco,2,Empresa,85,53.26,CREDITO
0,Banco,2,Empresa,94,111.73,CREDITO
0,Banco,3,Empresa,0,71.77,CREDITO
0,Banco,3,Empresa,6,56.33,CREDITO
0,Banco,3,Empresa,18,37.96,CREDITO
0,Banco,3,Empresa,25,83.12,CREDITO
0,Banco,3,Empresa,26,111.65,CREDITO
0,Banco,3,Empresa,31,72.66,CREDITO
0,Banco,3,Empresa,43,84.60,CREDITO
0,Banco,3,Empresa,44,105.25,CREDITO
0,Banco,3,Empresa,77,74.02,CREDITO
0,Banco,3,Empresa,78,85.60,CREDITO
0,Banco,3,Empresa,86,89.73,CREDITO
0,Banco,3,Empresa,90,90.61,CREDITO
0,Banco,3,Empresa,92,98.66,CREDITO
0,Banco,4,Empresa,13,112.35,CREDITO
0,Banco,4,Empresa,37,47.50,CREDITO
0,Banco,4,Empresa,42,106.78,CREDITO
0,Banco,4,Empresa,82,43.33,CREDITO
0,Banco,5,Empresa,16,92.60,CREDITO
0,Banco,5,Empresa,47,83.16,CREDITO
0,Banco,5,Empresa,60,120.66,CREDITO
0,Banco,5,Empresa,66,59.13,CREDITO
0,Banco,6,Empresa,27,119.56,CREDITO
0,Banco,6,Empresa,63,116.56,CREDITO
0,Banco,6,Empresa,67,94.91,CREDITO
0,Banco,6,Empresa,87,33.86,CREDITO
0,Banco,7,Empresa,33,117.54,CREDITO
0,Banco,7,Empresa,48,105.57,CREDITO
0,Banco,7,Empresa,74,101.85,CREDITO
0,Banco,8,Empresa,3,98.48,CREDITO
0,Banco,8,Empresa,99,55.54,CREDITO
0,Banco,9,Empresa,70,84.14,CREDITO
0,Banco,10,Banco,1,36.59,INTERBANCARIO
0,Hogar,914,Empresa,0,1.0,PROPIEDAD
0,Hogar,1140,Empresa,1,1.0,PROPIEDAD
0,Hogar,924,Empresa,2,1.0,PROPIEDAD
0,Hogar,998,Empresa,3,1.0,PROPIEDAD
0,Hogar,1052,Empresa,4,1.0,PROPIEDAD
0,Hogar,963,Empresa,5,1.0,PROPIEDAD
0,Hogar,138,Empresa,6,1.0,PROPIEDAD
0,Hogar,936,Empresa,7,1.0,PROPIEDAD
0,Hogar,677,Empresa,8,1.0,PROPIEDAD
0,Hogar,879,Empresa,9,1.0,PROPIEDAD
0,Hogar,407,Empresa,10,1.0,PROPIEDAD
0,Hogar,880,Empresa,11,1.0,PROPIEDAD
0,Hogar,593,Empresa,12,1.0,PROPIEDAD
0,Hogar,757,Empresa,13,1.0,PROPIEDAD
0,Hogar,609,Empresa,14,1.0,PROPIEDAD
0,Hogar,928,Empresa,15,1.0,PROPIEDAD
0,Hogar,590,Empresa,16,1.0,PROPIEDAD
0,Hogar,15,Empresa,17,1.0,PROPIEDAD
0,Hogar,888,Empresa,18,1.0,PROPIEDAD
0,Hogar,9,Empresa,19,1.0,PROPIEDAD
0,Hogar,498,Empresa,20,1.0,PROPIEDAD
0,Hogar,900,Empresa,21,1.0,PROPIEDAD
