Step,Source_Type,Source_ID,Target_Type,Target_ID,Weight,Relation_Type
0,Banco,0,Empresa,2,112.35,CREDITO
0,Banco,0,Empresa,5,96.27,CREDITO
0,Banco,0,Empresa,10,107.07,CREDITO
0,Banco,0,Empresa,11,85.11,CREDITO
0,Banco,0,Empresa,13,121.16,CREDITO
0,Banco,0,Empresa,24,36.30,CREDITO
0,Banco,0,Empresa,25,93.93,CREDITO
0,Banco,0,Empresa,27,100.87,CREDITO
0,Banco,0,Empresa,29,58.06,CREDITO
0,Banco,0,Empresa,37,109.08,CREDITO
0,Banco,0,Empresa,39,29.21,CREDITO
0,Banco,0,Empresa,40,62.95,CREDITO
0,Banco,0,Empresa,42,68.81,CREDITO
0,Banco,0,Empresa,44,79.69,CREDITO
0,Banco,0,Empresa,50,30.96,CREDITO
0,Banco,0,Empresa,53,100.27,CREDITO
0,Banco,0,Empresa,61,55.68,CREDITO
0,Banco,0,Empresa,63,93.83,CREDITO
0,Banco,0,Empresa,67,42.19,CREDITO
0,Banco,0,Empresa,72,51.97,CREDITO
0,Banco,0,Empresa,74,42.88,CREDITO
0,Banco,0,Empresa,78,45.65,CREDITO
0,Banco,0,Empresa,81,85.55,CREDITO
0,Banco,0,Empresa,86,65.56,CREDITO
0,Banco,0,Empresa,87,87.47,CREDITO
0,Banco,0,Empresa,95,32.16,CREDITO
0,Banco,1,Empresa,1,93.39,CREDITO
0,Banco,1,Empresa,6,74.38,CREDITO
0,Banco,1,Empresa,9,85.98,CREDITO
0,Banco,1,Empresa,23,81.27,CREDITO
0,Banco,1,Empresa,26,74.43,CREDITO
0,Banco,1,Empresa,28,77.59,CREDITO
0,Banco,1,Empresa,31,60.74,CREDITO
0,Banco,1,Empresa,56,74.82,CREDITO
0,Banco,1,Empresa,58,122.35,CREDITO
0,Banco,1,Empresa,71,122.19,CREDITO
0,Banco,1,Empresa,73,83.01,CREDITO
0,Banco,1,Empresa,75,92.76,CREDITO
0,Banco,1,Empresa,77,74.73,CREDITO
0,Banco,1,Empresa,82,50.28,CREDITO
0,Banco,1,Empresa,91,29.99,CREDITO
0,Banco,2,Empresa,0,80.76,CREDITO
0,Banco,2,Empresa,14,55.14,CREDITO
0,Banco,2,Empresa,19,59.88,CREDITO
0,Banco,2,Empresa,32,101.93,CREDITO
0,Banco,2,Empresa,35,53.35,CREDITO
0,Banco,2,Empresa,38,51.94,CREDITO
0,Banco,2,Empresa,41,31.20,CREDITO
0,Banco,2,Empresa,46,39.78,CREDITO
0,Banco,2,Empresa,68,117.68,CREDITO
0,Banco,2,Empresa,69,78.95,CREDITO
0,Banco,2,Empresa,76,38.64,CREDITO
0,Banco,2,Empresa,80,39.43,CREDITO
0,Banco,2,Empresa,88,78.42,CREDITO
0,Banco,2,Empresa,89,89.20,CREDITO
0,Banco,3,Empresa,16,106.16,CREDITO
0,Banco,3,Empresa,21,78.24,CREDITO
0,Banco,3,Empresa,30,118.48,CREDITO
0,Banco,3,Empresa,36,89.44,CREDITO
0,Banco,3,Empresa,45,43.25,CREDITO
0,Banco,3,Empresa,47,121.12,CREDITO
0,Banco,3,Empresa,49,51.90,CREDITO
0,Banco,3,Empresa,54,37.92,CREDITO
0,Banco,3,Empresa,55,114.81,CREDITO
0,Banco,3,Empresa,59,77.53,CREDITO
0,Banco,3,Empresa,65,83.22,CREDITO
0,Banco,3,Empresa,66,73.47,CREDITO
0,Banco,3,Empresa,84,65.51,CREDITO
0,Banco,4,Empresa,7,104.57,CREDITO
0,Banco,4,Empresa,17,45.75,CREDITO
0,Banco,4,Empresa,18,81.56,CREDITO
0,Banco,4,Empresa,20,50.14,CREDITO
0,Banco,4,Empresa,51,48.01,CREDITO
0,Banco,4,Empresa,70,50.65,CREDITO
0,Banco,4,Empresa,79,61.22,CREDITO
0,Banco,4,Empresa,83,94.22,CREDITO
0,Banco,4,Empresa,85,92.89,CREDITO
0,Banco,4,Empresa,90,108.61,CREDITO
0,Banco,5,Empresa,3,90.96,CREDITO
0,Banco,5,Empresa,33,72.31,CREDITO
0,Banco,6,Empresa,15,115.76,CREDITO
0,Banco,6,Empresa,34,89.48,CREDITO
0,Banco,6,Empresa,52,44.83,CREDITO
0,Banco,6,Empresa,62,121.20,CREDITO
0,Banco,6,Empresa,64,112.13,CREDITO
0,Banco,6,Empresa,99,118.42,CREDITO
0,Banco,7,Empresa,60,81.74,CREDITO
0,Banco,7,Empresa,93,108.28,CREDITO
0,Banco,8,Empresa,4,81.92,CREDITO
0,Banco,8,Empresa,43,101.03,CREDITO
0,Banco,8,Empresa,48,79.65,CREDITO
0,Banco,10,Empresa,8,54.00,CREDITO
0,Banco,10,Empresa,12,106.20,CREDITO
0,Banco,10,Empresa,98,111.47,CREDITO
0,Banco,12,Empresa,22,50.61,CREDITO
0,Banco,12,Empresa,57,90.27,CREDITO
