paso,produccion_total,consumo_total,defaults_empresas,deuda_total,riesgo_sistemico,impuesto_recaudado,patrimonio_bancos_total,fondo_rescate,Escenario
0,2.9976021664879227e-15,130.00000000000003,0,7789.615258977127,0.0,0.0,40163.991900188994,0.0,IRS (Impuesto Riesgo Sistémico)
1,9.880984919163893e-15,129.99999999999997,0,9809.952206953529,0.0,0.0,40378.507061370015,0.0,IRS (Impuesto Riesgo Sistémico)
2,7.216449660063518e-15,130.00000000000003,0,11058.77803098834,0.0,0.0,40622.101062588845,0.0,IRS (Impuesto Riesgo Sistémico)
3,6.328271240363392e-15,130.00000000000003,0,12046.753355800112,0.0,0.0,40889.46442524813,0.0,IRS (Impuesto Riesgo Sistémico)
4,6.5503158452884236e-15,130.0,0,13860.567922448427,0.0,0.0,41200.706551176954,0.0,IRS (Impuesto Riesgo Sistémico)
5,6.328271240363392e-15,130.0,0,15405.538374684937,0.0,0.0,41552.769362635336,0.0,IRS (Impuesto Riesgo Sistémico)
6,1.021405182655144e-14,130.00000000000003,0,16618.88615174562,0.0,0.0,41938.24491555355,0.0,IRS (Impuesto Riesgo Sistémico)
7,6.661338147750939e-15,130.00000000000003,0,17972.056476899343,0.0,0.0,42358.09046308019,0.0,IRS (Impuesto Riesgo Sistémico)
8,4.884981308350689e-15,130.00000000000006,0,19217.594450834215,0.0,0.0,42806.335260218126,0.0,IRS (Impuesto Riesgo Sistémico)
9,6.439293542825908e-15,130.0,0,21108.019056987854,0.0,0.0,43303.574900910986,0.0,IRS (Impuesto Riesgo Sistémico)
10,8.326672684688674e-15,130.0,0,22070.016775710967,239.78128651568838,0.2623905781420153,43824.031922365924,0.2623905781420153,IRS (Impuesto Riesgo Sistémico)
11,5.10702591327572e-15,130.00000000000003,0,23357.839142364974,239.78128651568838,0.0,44378.92760307717,0.2623905781420153,IRS (Impuesto Riesgo Sistémico)
12,9.2148511043888e-15,130.00000000000003,0,25258.414083022733,239.78128651568838,0.0,44993.970685636465,0.2623905781420153,IRS (Impuesto Riesgo Sistémico)
13,7.105427357601002e-15,130.0,0,27060.79047009433,239.78128651568838,0.0,45655.4842796496,0.2623905781420153,IRS (Impuesto Riesgo Sistémico)
14,7.993605777301127e-15,130.0,0,27899.0529730263,625.2142591724485,0.3263547907219667,46337.170013276824,0.588745368863982,IRS (Impuesto Riesgo Sistémico)
15,6.661338147750939e-15,130.00000000000003,0,30459.184635423288,992.7483868229489,0.28834440808994355,47081.771537690176,0.8770897769539255,IRS (Impuesto Riesgo Sistémico)
16,7.66053886991358e-15,130.00000000000003,0,32015.75026198541,1107.7112317619221,0.055226051035550915,47863.120641939386,0.9323158279894764,IRS (Impuesto Riesgo Sistémico)
17,8.382183835919932e-15,130.0,0,33650.9059983919,1849.4264742506957,0.6415207767088483,48676.16833135508,1.5738366046983245,IRS (Impuesto Riesgo Sistémico)
18,1.0158540675320182e-14,130.00000000000003,3,33608.320825234405,2477.272848541169,0.5336174304093714,48741.192008396545,2.107454035107696,IRS (Impuesto Riesgo Sistémico)
19,9.048317650695026e-15,130.00000000000003,13,31720.32333139183,3289.7351052008703,0.6868714678731486,46757.842034860616,2.7943255029808447,IRS (Impuesto Riesgo Sistémico)
20,7.605027718682322e-15,130.0,24,30229.313224897964,3905.451775228123,0.5461928493737811,43819.57298752006,3.340518352354626,IRS (Impuesto Riesgo Sistémico)
21,9.492406860545088e-15,129.99999999999997,26,32326.45896762311,4509.607590676149,0.561607269772012,43997.05592175517,3.9021256221266376,IRS (Impuesto Riesgo Sistémico)
22,6.106226635438361e-15,130.00000000000003,32,31754.899147148313,5010.009629184859,0.4625724001520313,42647.96757422015,4.364698022278668,IRS (Impuesto Riesgo Sistémico)
23,6.2727600891321345e-15,130.0,38,30966.195962603324,5539.172883258469,0.3636531951529533,41135.37921041071,4.728351217431622,IRS (Impuesto Riesgo Sistémico)
24,7.494005416219807e-15,130.0,46,29175.970310983146,5793.158295643602,0.19956655800026474,38663.29849172689,4.927917775431887,IRS (Impuesto Riesgo Sistémico)
25,9.159339953157541e-15,130.00000000000003,57,25512.260722272433,6104.755595328994,0.13551529877662719,34529.98944202131,5.063433074208515,IRS (Impuesto Riesgo Sistémico)
26,6.772360450213455e-15,130.00000000000003,71,20941.3726681346,6363.610509900661,0.1308563954548973,28864.943332855593,5.194289469663412,IRS (Impuesto Riesgo Sistémico)
27,5.953570969552402e-15,130.00000000000003,77,18975.901517312588,6673.684053413528,0.19757481497706536,26403.086030138526,5.3918642846404765,IRS (Impuesto Riesgo Sistémico)
28,6.4254157550180935e-15,130.00000000000003,83,17282.683451869812,7132.347325722388,0.30890307415594653,23677.837563920148,5.700767358796424,IRS (Impuesto Riesgo Sistémico)
